Unit ID,Tag
2015161,Clifton Grove-Ophir Cat 7 Alpha
2015175,MACARTHUR SUPPORT HOTEL
2015177,Narellan Pumper
2015179,GEORGES RIVER Cat 1 BRAVO
2015180,LYNWOOD PARK Cat 1
2015181,MACARTHUR COMMAND HOTEL
2015183,JERRABOMBERRA CREEK PUMPER
2015190,MACARTHUR SUPPORT FOXTROT
2015191,MIDDLETON Cat 1 ALPHA
2015196,MACARTHUR COMMAND DELTA
2015197,GLEDSWOOD Cat 1 BRAVO
2015204,MACARTHUR SUPPORT 1
2015212,Macarthur Support India
2015214,Casula Cat 9
2015215,Cobbitty Cat 7
2015216,MACARTHUR COMMAND CHARLIE
2015221,MACARTHUR COMMAND DELTA
2015226,Middleton Cat 1 Bravo
2015228,KENTLYN Cat 1
2015232,MACARTHUR SUPPORT BRAVO
2015240,Georges River Cat 9
2015241,MACARTHUR SUPPORT BRAVO
2015284,N/A
2015286,N/A
2015299,Macarthur Duty
2015316,N/A
2015328,N/A
2015329,N/A
2015332,N/A
2015338,GREEN POINT PORTABLE #1
2015343,Bulahdelah Cat 9
2015345,BULAHDELAH PORTABLE #1
2015346,Mid Coast Group 21
2015347,Mid Coast Duty
2015351,Green Point Station
2015354,Blue Mountains Support Charlie
2015355,PACIFIC PALMS PORTABLE #2
2015356,Mid Coast Duty
2015358,SANCROX PORTABLE
2015362,RAINBOW FLAT PORTABLE #1
2015364,TUNCURRY PORTABLE #2
2015371,Tuncurry
2015404,Mid Coast Duty
2015409,BONNY HILLS PORTABLE #1
2015412,LAKE CATHIE PORTABLE
2015413,Camden Haven
2015416,BONNY HILLS PORTABLE #3
2015418,WAUCHOPE PORTABLE #2
2015420,WAUCHOPE PORTABLE #1
2015421,CAMDEN HAVEN PORTABLE #1
2015424,KING CREEK PORTABLE
2015427,Telegraph Point Station
2015430,Krambach Station
2015433,ROLLANDS PLAINS PORTABLE #1
2015437,Telegraph Point
2015440,Lake Innes Cat 1
2015444,KING CREEK PORTABLE
2015456,N/A
2015460,Rainbow Flats Cat 7
2015461,TAREE PORTABLE #2
2015462,TAREE PORTABLE #1
2015465,Tinonee
2015467,MITCHELLS ISLAND PORTABLE
2015468,OLD BAR PORTABLE #1
2015469,LANSDOWNE PORTABLE
2015470,OLD BAR PORTABLE #2
2015471,KUNDLE MOTO PORTABLE
2015472,Nabiac Cat 1
2015473,MC OCV PORTABLE #1
2015474,DIAMOND BEACH PORTABLE #1
2015477,BURRELL CREEK PORTABLE
2015484,COOPERNOOK PORTABLE
2015486,JOHNS RIVER PORTABLE
2015488,MOORLAND PORTABLE
2015490,MOUNT GEORGE PORTABLE
2015498,WALLABY JOE PORTABLE
2015499,HANNAM VALE PORTABLE
2015525,Bringelly Cat 1
2015570,Lower Hunter Group 3
2015643,Greta Cat 1
2015645,Greta Station
2016004,Coutts Crossing Cat 9
2016005,Woodford Cat 9
2016008,Far North Coast Command Charlie
2016010,LOWER NORTH COAST PC ALPHA
2016044,Lower Hunter Mitagation 17 Uniform
2016045,Crossroads Cat 9
2016046,St Georges Basin Cat 7
2016048,The Hills Group 1
2016049,Baulkham Hills Group 3
2016052,North Rocks Cat 7
2016056,Kariong Cat 1
2016057,Hornsby Group 5
2016058,Mount Orion IC
2016059,Chiefley Lithgow Command November
2016060,Hill End Cat 7 Alpha
2016061,Chifley Lithgow Bulk Water
2016062,CHIFLEY LITHGOW COMMAND NOVEMBER
2016063,GANGAT Cat 7
2016065,Fire Investigation 134
2016069,Illawarra Group 6
2016071,Kembla Cat 9
2016072,Central Cat 7
2016076,NORTHERN BEACHES COMMAND JULIET
2016080,North West Cat 9
2016084,Springside Cat 7
2016085,Clifton Grove-Ophir Cat 9
2016086,DRIPSTONE 7A
2016088,NARROMINE 6B
2016095,Nyngan Hq 6
2016099,Bomber 210
2016100,FireScan 201
2016101,Firescan 200
2016105,RFS Media 1
2016113,Greater Sydney 45
2016120,FI 075
2016124,Far South Coast FCO3
2016127,N/A
2016131,Lower Hunter Mitagation Support
2016132,The Hills - Mitagation 2 Bravo
2016134,Mitigation Hunter
2016142,Northern Beaches Mitigation 17
2016144,Hunter Valley Mitigation 17 Yankie
2016147,LOGISTICS SUPPORT BRAVO
2016151,FIU 007
2016154,Bathurst Cat 1
2016156,Bathurst Cat 7
2016157,CHIFLEY LITHGOW OCV
2016162,Chifley Lithgow Command Echo
2016165,WESTERN MITIGATION 17 CHARLIE
2016168,WESTERN MITIGATION 17 HOTEL
2016169,State Mitigation 17 Whiskey
2016170,17 Oscar
2016171,Hunter Valley Mitigation 17 Delta
2016172,WESTERN MITIGATION 17 DELTA
2016187,Western Mitigation 7 Alpha
2016188,Western Mitigation 17 Echo
2016191,WESTERN COMMAND INDIA
2016193,Jackadgery Station
2016200,WESTERN MITIGATION 1 ALPHA
2016201,Far South Coast Command Gulf
2016209,MID COAST TRAINING 52
2016232,SUTHERLAND COMMAND ECHO
2016240,Beacon Hill PC
2016242,Stonefield Cat 9
2016247,Northern Rivers Command Bravo
2016248,Chifley Lithgow Command Foxtrot
2016257,Northern Rivers Command Alpha
2016268,Lake George Duty
2016276,N/A
2016282,Glenreagh Cat 1
2016292,EULOMOGO Cat 1
2016296,Dubbo Cat 1 Alpha
2016309,NEUREA Cat 1
2016310,NARROMINE 1B
2016313,ARTHURVILLE Cat 7
2016331,Orana Command Alpha
2016333,ORANA COMMAND ALPHA
2016341,BURRABADINE 7A
2016372,ELONG 7A
2016381,Dubbo Cat 1 Bravo
2016382,ORANA COMMAND NOVEMBER
2016393,BOOTHENBA Cat 1
2016398,Coffs PC Echo
2016406,BOAMBEE Cat 1
2016408,Corindi Cat 1
2016410,URUNGA Cat 1
2016412,COFFS COAST SUPPORT 1
2016414,COFFS COAST SUPPORT BRAVO
2016415,SOLITARY Cat 7
2016425,MEGAN Cat 1
2016435,FAR NORTH COAST PC ECHO
2016443,Coffs Coast Disposals
2016448,BOSTOBRICK Cat 9
2016452,FERNMOUNT Cat 1
2016458,Hornsby Support Bus Alpha
2016459,NORTH EASTERN AREA COMMAND ECHO
2016460,Engadine Cat 1 Bravo
2016464,Kurnell Cat 1 Alpha
2016471,NORTH EAST MITIGATION 17 BRAVO
2016476,Waterfall Cat 1 Alpha
2016477,Illawong Cat 1 Bravo
2016482,CARWOOLA Cat 1
2016486,GRAYS POINT 1A
2016500,SOUTHERN HIGHLANDS COMMAND QUEBEC
2016507,SOUTHERN HIGHLANDS COMMAND QUEBEC
2016511,SOUTHERN HIGHLANDS SUPPORT DELTA
2016517,Southern Highlands Ops 3
2016520,PHEASANTS NEST Cat 1
2016522,Operational Field Support
2016523,YANDERRA Cat 7
2016524,ILLAWARRA SUTHERLAND COMMAND PAPA
2016528,BUNDANOON Cat 1
2016530,PICTON Cat 9
2016533,TAHMOOR Cat 1
2016534,ALPINE PUMPER
2016535,COLO VALE Cat 9
2016541,LAKESLAND Cat 1
2016546,MENANGLE Cat 1
2016547,QUEANBEYAN Cat 9
2016561,BARGO PC
2016562,SOUTHERN HIGHLANDS SUPPORT PC ALPHA
2016563,SOUTHERN HIGHLANDS PACU TRAILER
2016564,SOUTHERN HIGHLANDS COMMAND ECHO
2016570,SOUTHERN HIGHLANDS COMMAND ECHO
2016574,SOUTHERN HIGHLANDS SUPPORT PC BRAVO
2016576,SOUTHERN HIGHLANDS COMMAND LIMA
2016582,DOUGLAS PARK Cat 1
2016584,YERRINBOOL Cat 7
2016585,YERRINBOOL Cat 1
2016586,Colo Vale PC
2016587,WILTON Cat 9
2016591,EXETER Cat 1
2016593,BUNDANOON PC
2016595,BARGO PUMPER
2016689,Mt Arthur Cat 7
2016695,North East Mitigation 17 Juliet
2016702,EULOMOGO Cat 7
2016706,CUMBOOGLE Cat 1
2016714,SPICERS CREEK 7A
2016715,ELONG Cat 1
2016720,COMOBELLA Cat 9
2016728,SHERWOOD CREEK Cat 1
2016730,COUNTRY CLUB Cat 1
2016732,Corrindi Cat 7
2016748,BONVILLE Cat 7
2016751,RED HILL Cat 7
2016758,MOONEE Cat 1
2016763,Mittagong Cat 7
2016765,THE OAKS Cat 1
2016768,THIRLMERE Cat 1
2016770,PICTON Cat 1
2016776,MITTAGONG Cat 1
2016777,TAHMOOR Cat 7
2016780,COLO VALE Cat 1
2016782,BARGO Cat 1
2016783,SOUTHERN HIGHLANDS BULK WATER
2016787,WILTON Cat 1
2016790,Operational Field Support
2016796,PENROSE Cat 1
2016799,WINGELLO Cat 1
2016800,Hornsby Catering Bravo
2016803,SOUTHERN HIGHLANDS COMMAND DELTA
2016838,Blue Mountains Duty
2016842,Central Div Comm
2016871,BOOROWA NORTH Cat 1
2016879,CULLINGA Cat 1
2016883,NANGUS Cat 1 ALPHA
2016886,Spencer Station
2016892,Cooranbong P
2016895,TARANA Cat 1
2016911,Northern Rivers DTZ Office - Richmond Va
2016917,Mitigation 41
2016931,Toonumbar Cat 7
2016932,BLUE KNOB Cat 7
2016935,KYOGLE HQ 9
2016939,Nimbin Cat 7
2016941,Nimbin Cat 1
2016942,Caniaba Cat 1
2016954,Clunes Cat 1
2016956,Kyogle Hq 1
2016958,BENTLEY Cat 7
2016960,ROSEBANK Cat 2
2016961,Boat Harbour Cat 1
2016962,BURRA Cat 9
2016964,Alphadale Cat 1
2016969,Whiporie Cat 9
2016970,
2016975,West Coraki Cat 7
2016978,Queens Cat 9
2016980,Dunoon Cat 1
2016982,Northern Rivers 7c
2016983,Wyrallah Cat 7
2016984,MUMMULGUM Cat 1
2016985,Hanging Rock Cat 1
2016988,Hogarth Range Cat 7
2016989,WOODENBONG Cat 1
2016991,Woodburn 1a
2016992,N/A
2016993,HANGING ROCK Cat 7
2017042,Narara Station
2017043,Central Coast Duty
2017047,Central Coast Group 9
2017086,17 Foxtrot
2017129,Helitak 205
2017211,Patonga Beach Station
2017214,Kariong Cat 1
2017215,Ourimbah Cat 9
2017216,Heli Tac 212
2017221,Somersby Cat 2
2017242,Firebird 257
2017252,Birddog 376
2017253,Bomber 137
2017502,Mallanganee Cat 1
2017504,MALLANGANEE Cat 9
2017512,
2017520,NORTHERN RIVERS COMMAND GOLF
2017532,Far North Coast Duty
2017557,SOUTH GUNDAGAI Cat 1
2017577,MONTEAGLE Cat 1
